DATE,CBS stroom,ANWB stroom,CBS gas,ANWB gas
jan-21,0.2200,0.2200,0.8000,0.8200
feb-21,0.2200,0.2200,0.8000,0.8000
mar-21,0.2300,0.2300,0.8100,0.7900
apr-21,0.2300,0.2300,0.8100,0.8200
may-21,0.2300,0.2300,0.8100,0.8800
jun-21,0.2300,0.2600,0.8300,0.9200
jul-21,0.2400,0.2700,0.8700,1.0100
aug-21,0.2400,0.2700,0.8800,1.1000
sep-21,0.2600,0.3300,0.9300,1.3100
oct-21,0.2800,0.3600,1.0500,1.6400
nov-21,0.3300,0.3900,1.2700,1.5300
dec-21,0.3700,0.4500,1.4200,1.9200
jan-22,0.4000,0.3300,1.7400,1.6000
feb-22,0.3800,0.3000,1.6700,1.5600
mar-22,0.5600,0.4100,2.3900,2.1500
apr-22,0.5200,0.3300,2.2300,1.8100
may-22,0.4400,0.3200,1.9700,1.6600
jun-22,0.4200,0.3500,1.7600,1.8200
jul-22,0.4900,0.4100,2.0800,2.1900
aug-22,0.5800,0.5400,2.6000,2.8400
sep-22,0.7200,0.4300,3.2600,2.4000
oct-22,0.7300,0.2500,3.2700,1.3400
nov-22,0.6000,0.2900,2.3100,1.4900
dec-22,0.5900,0.3700,2.3100,1.7900
jan-23,0.6700,0.3200,2.5900,1.4400
feb-23,0.6300,0.3300,2.4400,1.3200
mar-23,0.5800,0.3000,2.3100,1.2100
apr-23,0.4500,0.2900,1.7800,1.1900
may-23,0.4000,0.2600,1.5400,1.0500
jun-23,0.3900,0.2800,1.4800,1.0500
jul-23,0.3500,0.2600,1.2900,1.0300
aug-23,0.3500,0.2800,1.2600,1.0700
sep-23,0.3500,0.2900,1.2600,1.1100
oct-23,0.3500,0.2800,1.2400,1.1900
nov-23,0.3500,0.2900,1.2700,1.1800
dec-23,0.3500,0.2600,1.2900,1.0900
jan-24,0.3300,0.3000,1.4000,1.1200
feb-24,0.3300,0.2500,1.4000,1.0700
mar-24,0.3300,0.2600,1.3800,1.0700
apr-24,0.3100,0.2500,1.3400,1.0000
may-24,0.3000,0.2700,1.3000,1.1100
jun-24,0.3000,0.2600,1.2900,1.1600
jul-24,0.2900,0.2600,1.2900,1.1500
aug-24,0.2800,0.2700,1.2800,1.2000
sep-24,0.2800,0.2700,1.2900,1.1900
oct-24,0.2900,0.2900,1.3200,1.2500
nov-24,0.2900,0.3200,1.3200,1.2800
dec-24,0.2900,0.3100,1.3300,1.2900
jan-25,0.2900,0.3100,1.3300,1.3300
feb-25,0.2800,0.3200,1.3400,1.3500
mar-25,0.2800,0.2800,1.3500,1.2500
apr-25,0.2749,0.2622,1.3592,1.1724
may-25,0.2710,0.2494,1.3591,1.1738
jun-25,0.2699,0.2534,1.3559,1.1873
jul-25,0.2708,0.2775,1.3443,1.1519
aug-25,0.2709,0.2616,1.3282,1.1416
sep-25,0.2714,0.2650,1.3265,1.1403
